Warning: Config file not found. Using some defaults
INFO:spa2mqtt.spas.base.communicator.communicator:Instantiated default communicator with target 192.168.100.47:4257
INFO:spa2mqtt.spas.base.communicator.communicator:Attaching update handler.
INFO:spa2mqtt.spas.base.communicator.communicator:Connected to spa.
2025-05-21 11:26:28.383793_: 7e21ffaf230000000000000002003c0000ff0002003c0000ff0002003c0000ff008d7e
2025-05-21 11:26:28.417570_: 7e25ffaf160623750519020064fa6502160102000065011c016c8000800000000000000000cf7e
2025-05-21 11:26:28.684310_: 7e25ffaf160623750519020064fa6502160102000065011c016c8000800000000000000000cf7e
2025-05-21 11:26:28.986664_: 7e25ffaf160623750519020064fa6502160102000065011c016c8000800000000000000000cf7e
2025-05-21 11:26:29.287203_: 7e25ffaf160623750519020064fa6502160102000065011c016c8000800000000000000000cf7e
2025-05-21 11:26:29.424427_: 7e21ffaf230000000000000002003c0000ff0002003c0000ff0002003c0000ff008d7e
2025-05-21 11:26:29.583486_: 7e25ffaf160623750519020064fa6502160102000065011c016c8000800000000000000000cf7e
2025-05-21 11:26:29.883871_: 7e25ffaf160623750519020064fa6502160102000065011c016c8000800000000000000000cf7e
2025-05-21 11:26:30.183860_: 7e25ffaf160623750519020064fa6502160102000065011c016c8000800000000000000000cf7e
2025-05-21 11:26:30.382914_: 7e21ffaf230000000000000002003c0000ff0002003c0000ff0002003c0000ff008d7e
2025-05-21 11:26:30.522610_: 7e25ffaf160623750519020064fa6502160102000065011c016c8000800000000000000000cf7e
2025-05-21 11:26:30.792282_: 7e25ffaf160623750519020064fa6502160102000065011c016c8000800000000000000000cf7e
2025-05-21 11:26:31.083563_: 7e25ffaf160623750519020064fa6502160102000065011c016c8000800000000000000000cf7e
2025-05-21 11:26:31.386363_: 7e21ffaf230000000000000002003c0000ff0002003c0000ff0002003c0000ff008d7e
2025-05-21 11:26:31.416627_: 7e25ffaf160623750519020064fa6502160102000065011c016c8000800000000000000000cf7e
2025-05-21 11:26:31.688955_: 7e25ffaf160623750519020064fa6502160102000065011c016c8000800000000000000000cf7e
2025-05-21 11:26:31.983359_: 7e25ffaf160623750519020064fa6502160102000065011c016c8000800000000000000000cf7e
2025-05-21 11:26:32.283345_: 7e25ffaf160623750519020064fa6502160102000065011c016c8000800000000000000000cf7e
2025-05-21 11:26:32.392327_: 7e21ffaf230000000000000002003c0000ff0002003c0000ff0002003c0000ff008d7e
